s_thresh,v_thresh,3/3,3/5,3/7,3/9,3/11,3/13,3/15,3/17,3/19,3/21,3/23,3/25,3/27,3/29,3/31,3/33,3/35,3/37,3/39,3/41,3/43,3/45,3/47,3/49,3/51,5/3,5/5,5/7,5/9,5/11,5/13,5/15,5/17,5/19,5/21,5/23,5/25,5/27,5/29,5/31,5/33,5/35,5/37,5/39,5/41,5/43,5/45,5/47,5/49,5/51,7/3,7/5,7/7,7/9,7/11,7/13,7/15,7/17,7/19,7/21,7/23,7/25,7/27,7/29,7/31,7/33,7/35,7/37,7/39,7/41,7/43,7/45,7/47,7/49,7/51,9/3,9/5,9/7,9/9,9/11,9/13,9/15,9/17,9/19,9/21,9/23,9/25,9/27,9/29,9/31,9/33,9/35,9/37,9/39,9/41,9/43,9/45,9/47,9/49,9/51,11/3,11/5,11/7,11/9,11/11,11/13,11/15,11/17,11/19,11/21,11/23,11/25,11/27,11/29,11/31,11/33,11/35,11/37,11/39,11/41,11/43,11/45,11/47,11/49,11/51
0,87,40,32,29,25,22,21,20,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,20,19,18,17,16,16,16,16,17,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,11,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,88,38,31,26,22,21,21,20,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,20,19,18,17,16,16,16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,12,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,89,36,30,26,22,21,21,20,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,21,18,18,17,16,16,17,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,12,12,11,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,90,37,30,26,22,21,20,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,24,20,18,18,17,17,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,13,13,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,91,39,30,24,22,21,20,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,24,21,19,19,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,92,37,30,24,22,21,20,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,24,20,19,19,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,13,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,93,35,29,24,22,21,20,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,25,21,20,20,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,13,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,94,39,31,24,21,20,19,19,19,18,18,18,18,18,18,18,18,18,18,21,17,17,17,17,17,19,24,21,20,20,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,13,13,13,13,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,95,39,32,24,21,21,20,20,20,18,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,19,24,21,20,20,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,96,40,30,24,22,21,21,21,21,18,19,19,18,18,18,18,18,18,18,17,17,17,17,17,17,19,24,21,20,21,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,97,42,31,26,24,22,22,21,21,19,19,20,19,19,19,19,19,19,18,18,18,18,18,18,18,20,24,21,20,21,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,98,38,30,26,24,22,22,21,21,19,19,20,19,19,19,19,19,19,18,18,18,18,18,18,20,18,24,21,20,19,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,99,38,30,26,24,22,22,21,21,19,19,20,19,19,19,19,19,19,18,18,18,18,18,18,20,18,25,22,21,20,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,100,41,32,28,25,22,22,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,20,18,25,22,21,20,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,101,42,33,28,26,22,22,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,20,18,25,21,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,102,42,31,27,25,22,22,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,20,18,25,21,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
0,103,42,31,26,24,21,21,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,20,18,28,23,23,23,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
0,104,43,30,26,23,21,21,21,21,20,20,20,20,19,19,19,18,18,18,18,18,18,18,18,20,18,26,23,23,23,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
0,105,45,33,29,26,24,24,24,24,23,23,23,23,22,22,22,21,21,21,20,20,19,19,19,21,19,26,23,21,21,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,17,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,106,48,36,32,28,25,25,24,24,23,23,22,22,22,22,22,20,20,20,19,19,19,19,19,21,19,27,24,22,21,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,18,18,19,19,16,16,16,16,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,107,47,37,33,28,25,25,25,25,24,23,23,23,23,23,22,21,21,19,19,19,19,19,19,21,19,26,24,22,21,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,18,18,20,20,17,17,17,17,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,108,54,39,33,29,27,26,25,25,24,24,23,23,23,23,23,20,19,19,19,19,19,19,19,21,19,27,25,23,22,21,21,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,19,19,20,17,17,17,17,17,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,109,63,43,38,33,30,27,26,24,24,24,22,22,22,21,20,19,19,19,18,18,18,18,18,20,18,28,25,23,22,21,21,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,19,18,20,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,110,68,47,39,31,27,23,22,22,22,22,22,22,21,21,20,18,18,18,18,18,18,18,18,20,18,30,27,25,24,24,22,21,21,20,20,20,19,19,19,19,19,19,19,19,19,19,19,21,19,18,18,17,17,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3,79,41,35,32,24,22,21,21,20,19,19,19,18,18,18,18,18,18,18,18,18,18,18,20,17,17,22,19,18,16,16,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,91,39,30,24,22,21,20,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,24,21,19,19,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,92,37,30,24,22,21,20,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,24,20,19,19,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,93,35,30,24,22,21,20,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,19,25,21,20,20,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,13,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,97,42,31,26,24,22,22,21,21,19,19,20,19,19,19,19,19,19,18,18,18,18,18,18,18,20,27,22,20,21,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,98,38,30,26,24,22,22,21,21,19,19,20,19,19,19,19,19,19,18,18,18,18,18,18,20,18,25,21,20,19,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,99,38,30,26,24,22,22,21,21,19,19,20,19,19,19,19,19,19,18,18,18,18,18,18,20,18,25,22,21,20,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,100,41,32,28,25,22,22,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,20,18,25,22,21,20,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,101,42,33,28,26,22,22,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,20,18,25,21,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,102,42,31,27,25,22,22,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,20,18,25,21,19,19,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
3,103,42,31,26,24,21,21,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,20,18,28,23,23,23,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
3,104,43,30,26,23,21,21,21,21,20,20,20,20,19,19,19,18,18,18,18,18,18,18,18,20,18,26,23,23,23,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
3,105,45,33,29,26,24,24,24,24,23,23,23,23,22,22,22,21,21,21,20,20,19,19,19,21,19,26,23,21,21,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3,106,48,36,32,28,25,25,24,24,23,23,22,22,22,22,22,20,20,20,19,19,19,19,19,21,19,27,24,22,21,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,18,18,17,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
3,107,47,37,33,28,25,25,25,25,24,23,23,23,23,23,22,21,21,19,19,19,19,19,19,21,19,26,24,22,21,20,20,20,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,18,18,18,17,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
4,79,41,35,32,24,22,21,21,20,19,19,19,18,18,18,18,18,18,18,18,18,18,18,20,17,17,21,18,18,16,16,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,80,42,34,33,25,23,22,21,20,19,19,19,18,18,18,18,18,18,18,18,18,18,18,20,17,17,22,19,19,15,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
